KPK Assembly,Name of candidate,Party Affiliation,Symbol allocated,Number of Votes Polled,Casted men,Casted Women,Rejected Votes,Number of Votes Polled,Registered Males,Registered Females,total voters registered,Turnout %
PK-1,Burhan ud din,Independent,Clock (60),18,30345,35377,1609,64113,69544,60645,130189,50.48%
PK-1,Bibi Latifa,Independent,Pressure Cooker (209),49,54344,47331,3223,98452,99649,83712,183361,55.45%
PK-1,Suriya Bibi,Independent - PTI,Hen (135),18914,48901,20744,2534,67111,118077,94710,212787,32.73%
PK-1,Javed Hussain,Jamaat-e-Islami Pakistan,Scale (332),9208,45536,19881,1958,63459,92042,78861,170903,38.28%
PK-1,Hizbullah,Independent,Swallow (267),59,44006,17941,2509,59438,81884,67975,149859,41.34%
PK-1,Rahmat Karim Baig,Independent,Aeroplane (2),400,60732,18558,1716,77574,106561,89950,196511,40.35%
PK-1,Siraj Ali Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),9281,49760,17212,1974,64998,93361,78319,171680,39.01%
PK-1,Syed Amir Hussain Shah,Independent,Peacock (194),344,51342,19924,1723,69543,113467,95841,209308,34.05%
PK-1,Syed Jamal Shah,Independent,Charpai (56),25,41606,16255,2032,55829,99584,83110,182694,31.67%
PK-1,Shakeel Ahmad,Jamiat Ulama-e-Islam Pakistan,Book(31),10533,42504,11724,1948,52280,99335,84795,184130,29.45%
PK-1,Ghulam Muhammad,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),8438,40748,26545,3085,64208,109346,87902,197248,34.12%
PK-1,Gul Murad Khan,Independent,Table (271),199,43266,23388,2340,64314,107149,86359,193508,34.45%
PK-1,Muhammad Wazir,Pakistan Muslim League (N),Tiger (284),2695,48738,30823,3672,75889,110658,89019,199677,39.84%
PK-1,Mukhtar Nabi,Independent,Tap (277),938,44491,27093,1747,69837,100696,81735,182431,39.24%
PK-1,Naveed Sultan,Independent,Study Table with Chair (263),3012,49916,27025,1895,75046,98063,80391,178454,43.12%
PK-2,Iftikhar Hussain,Pakistan Rah-e-Haq Party,Iron (147),112,46621,29913,2058,74476,94719,77200,171919,44.52%
PK-2,Saleem Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),22995,47015,21501,1965,66551,96447,75903,172350,39.75%
PK-2,Shahzada Khalid Parvez,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),12767,33657,17957,2158,49456,91884,73814,165698,31.15%
PK-2,Fateh UL Mulk Ali Nasir,Independent - PTI,Pomegranate (208),28510,29803,23624,1395,52032,97710,83511,181221,29.48%
PK-2,Faiz Muhammad Maqsood,Jamiat Ulama-e-Islam Pakistan,Book (31),19882,30699,17021,1185,46535,81281,65945,147226,32.41%
PK-2,Luke Rehmat,Independent,Goat (123),852,33993,14074,935,47132,87238,73188,160426,29.96%
PK-2,Muhammad Hussain,Independent,Peacock (194),91,,,,0,,,0,#DIV/0!
PK-2,Maghfirat Shah,Jamaat-e-Islami Pakistan,Scale (232),13243,65887,39274,3261,101900,132678,113035,245713,42.80%
PK-3,Bakht Zada,Jamiat Ulama-e-Islam Pakistan,Book (31),3377,60557,36528,3332,93753,121438,101300,222738,43.59%
PK-3,Jafar Shah,Awami National Party,Lantern (162),8844,55350,12626,2935,65041,110479,93960,204439,33.25%
PK-3,Jehangir,Pakistan Muslim League (N),Tiger (284),11774,48092,21873,2958,67007,98412,85540,183952,38.03%
PK-3,Habib Ullah,Jamaat-e-Islami Pakistan,Scale (232),7693,47464,24917,3407,68974,93715,80146,173861,41.63%
PK-3,Said Hakeem Shah,Pakistan Peoples Party Parliamentarians,Arrow (12),6432,39643,9859,1551,47951,82180,70538,152718,32.41%
PK-3,Sharafat Ali,Independent - PTI,Pressure Cooker (209),25170,35114,17531,2030,50615,87149,78233,165382,31.83%
PK-3,Fazal Ullah,Pakistan Markazi Muslim League,Chair (55),414,37228,8311,1458,44081,77770,69732,147502,30.87%
PK-3,Nawazish Ali,Independent,Clock (60),3407,23142,15012,560,37594,40250,35410,75660,50.43%
PK-4,Haider Ali Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),6349,23601,18494,878,41217,40340,36644,76984,54.68%
PK-4,Dil Roshad,Independent,Dove (88),225,12252,7452,317,19387,23325,20156,43481,45.32%
PK-4,Sardar Khan,Pakistan Muslim League (N),Tiger (284),12514,35596,6678,1445,40829,88625,74156,162781,25.97%
PK-4,Syed Aleem Shah,Independent,Suitcase (264),499,40715,10950,2242,49423,90938,75183,166121,31.10%
PK-4,Said Qamar,Jamiat Ulama-e-Islam Pakistan,Book (31),5698,66397,48370,4875,109892,137973,115711,253684,45.24%
PK-4,Ali Shah,Independent - PTI,Khussa (157),30022,41871,27925,2131,67665,78120,71171,149291,46.75%
PK-4,Ali Namdar Khan,Pashtoonkhwa National Awami Party,Bunch of Grapes (42),875,56601,38422,3061,91962,119737,105765,225502,42.14%
PK-4,Mahboob Ur Rahman,Pakistan tehreek-e-Insaf Parliamentarian,Turban (305),6062,48480,38153,3747,82886,127586,112708,240294,36.05%
PK-4,Noor Ullah Noor,Jamaat-e-Islami Pakistan,Scale (232),1215,62303,41134,2754,100683,127550,109916,237466,43.56%
PK-5,Akhtar Khan,Independent - PTI,Bottle (32),24055,16606,20437,1121,35922,66042,55614,121656,30.45%
PK-5,Iftikhar Afzal Khan,Independent,Racket (214),260,57621,45772,3186,100207,122522,108340,230862,44.79%
PK-5,Iqbal Hussain,Independent,Clock (60),89,68465,53415,5256,116624,141288,126347,267635,45.54%
PK-5,Amir Muqam,Pakistan Muslim League (N),Tiger (284),14804,52412,42967,2857,92522,118212,106100,224312,42.52%
PK-5,Sanaullah Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),15462,59498,44298,2499,101297,119370,110442,229812,45.17%
PK-5,Habib Ali Shah,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),1060,68055,56026,4014,120067,134172,123338,257510,48.18%
PK-5,Shah Zeb,Independent,Charpai (56),741,70696,56154,3698,123152,127074,115489,242563,52.30%
PK-5,Abdul Jalil Khan,Jamaat-e-Islami Pakistan,Scale (232),33,63634,48227,3805,108056,118254,106588,224842,49.75%
PK-5,Adalat Khan,Independent,Aeroplane (2),37,52463,27309,2378,77394,111048,95824,206872,38.56%
PK-5,Aziz Ullah Khan,Independent,Duck (92),267,58286,37682,3354,92614,125714,109429,235143,40.81%
PK-5,Fazal Ullah,Independent,Cricket Strumps (73),188,57318,32804,3753,86369,116095,102346,218441,41.26%
PK-5,Muhammad Ishaq,Independent,Swallow (267),91,59831,31761,2933,88659,121025,104811,225836,40.56%
PK-5,Mian Huzaifa,Awami National Party,Lantern (162),2351,58040,24580,3058,79562,119604,103594,223198,37.02%
PK-6,Irshad Ali Khan,Pakistan Muslim League (N),Tiger (284),8930,49529,33965,2232,81262,104850,85102,189952,43.96%
PK-6,Iftikhar Ahmad,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),19422,59425,35552,1873,93104,113045,94877,207922,45.68%
PK-6,Hujat Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),5221,48382,27012,1710,73684,101621,85115,186736,40.37%
PK-6,Hassan Muaavia (RTD),Mazloom Olsi Tehreek Pakistan,Pitcher (204),65,50653,27007,1710,75950,100733,84027,184760,42.03%
PK-6,Dost Muhammad Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),1372,55634,27493,1822,81305,116225,100908,217133,38.28%
PK-6,Saad Khan,Independent,MIC (174),602,49033,26145,2256,72922,99304,79380,178684,42.07%
PK-6,Saleem Iqbal,Independent,Cricket Strumps (73),205,51825,31618,2046,81397,102837,82720,185557,44.97%
PK-6,Shaukat Ali,Independent,Match Box (172),293,52943,33766,1933,84776,103081,84253,187334,46.29%
PK-6,Zafar Hayat Spin Khan,Independent,Sheep (241),210,55625,26551,2482,79694,106205,86563,192768,42.63%
PK-6,Asimullah Khan,Awami National Party,Lantern (162),3764,55868,27810,2131,81547,110725,88306,199031,42.04%
PK-6,Fazl Hakeem Khan Yousafzai,Independent - PTI,Roller of Wood (223),25330,61117,32026,2658,90485,125011,104623,229634,40.56%
PK-6,Muhammad Ibrahim Khan Kheil,Independent,Human Eye (142),169,60410,29082,2186,87306,126904,108581,235485,38.00%
PK-6,Muhammad Amin,Jamaat-e-Islami Pakistan,Scale (232),8464,52357,23767,2075,74049,117504,92246,209750,36.29%
PK-6,Muhammad Zahid Khan,Independent,Racket (214),2196,31195,13265,1815,42645,81158,61598,142756,31.14%
PK-6,Malak Imran Khan,Qaumi Watan Party,Chiragh (Lamp) (58),1161,40007,12780,1027,51760,125627,90662,216289,24.41%
PK-6,Wali ud din,Pakistan Markazi Muslim League,Chair (55),170,32591,11295,1245,42641,109030,93618,202648,21.66%
