National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
NA-1,Abdul Latif,IND-PTI,Bottle (32),"61,834","166,808","4,755","84,230","82,578","169,193","144,357","313,550",53.2
NA-2,Muhammad Talha Mehmood ,JUIF,Book (31) ,"42,897","177,355","6,006","123,786","53,569","265,578","219,822","485,400",36.54
NA-3,Fazli Rabbi,PPP,Arrow (12) ,"23,723","167,028","4,966","127,255","39,773","251,356","211,325","462,681",36.1
NA-4,Iftikhar Uddin ,PML-N,Tiger (284),"20,007","161,186","5,412","121,286","39,900","286,769","242,414","529,183",30.46
NA-5,Molana Abdul Akbar Chitrali,JIP,Scale (232),"9,253","213,228","9,019","132,617","80,611","327,153","263,280","590,433",36.11
NA-6,Khatija Bibi,ANP,Lantern (162),"2,411","168,686","4,502","109,850","58,836","253,972","203,103","457,075",36.91
NA-7,Mukhtar Nabi,IND,Suitcase (264),614,"176,518","4,240","111,937","64,581","227,837","185,940","413,777",42.66
NA-8,Sayeda Maimoona Shah,IND,Tap (277),532,,,,Election Postponed,,,,
NA-9,Asad Ur Rehman,IND,Study Table with chair (263),493,"201,875","5,729","126,583","75,292","254,116","214,335","468,451",43.09
NA-10,Muhammad Javeed Khan,IND,Aeroplane (2),199,"209,723","8,493","150,155","59,568","302,606","259,646","562,252",37.3
NA-11,Amjad Ali Khan,IND-PTI,Kettle (153),"88,938","151,853","5,743","114,830","37,023","247,099","218,503","465,602",32.61
NA-12,Ameer Muqam ,PML-N,Tiger (284),"37,764","99,812","1,612","58,942","40,870","103,915","92,210","196,125",50.89
NA-13,Abdul Ghafoor,JUIF,Book (31),"15,522","93,652","3,421","76,048","17,604","179,563","149,339","328,902",28.47
NA-14,Haider Ali Khan ,PPP,Arrow (12),"11,632","260,941","7,022","152,318","108,623","312,883","269,961","582,844",44.77
NA-15,Muhammad Ayub Khan,ANP,Lantern (162),"9,158","247,600","9,082","140,288","107,312","344,125","300,924","645,049",38.38
NA-16,Naveed Iqbal,JIP,Scale (232),"5,949","248,405","7,347","137,235","111,170","293,564","260,862","554,426",44.8
NA-17,Sayed Iqbal Hussain,TLP,Crane (71),"1,215","176,665","4,002","100,723","75,942","207,828","190,367","398,195",44.37
NA-18,Muhammad Mukhtar,PPNAP,Bunch of Grapes (42),"1,102","361,619","11,722","201,304","160,315","379,500","345,415","724,915",49.88
NA-19,Naveed Ur Rehman,IND,Bee (24),70,"551,703","7,405","294,944","256,759","294,944","256,944","551,703",40
NA-20,Saleem Rehman,IND-PTI,Tongs (286),"81,411","220,557","7,581","147,508","73,049","298,566","259,233","557,799",39.54
NA-21,Wajid Ali Khan,PML-N,Tiger (284),"27,861","235,393","4,991","146,947","88,446","286,002","235,737","521,739",45.12
NA-22,Sher Baz Khan,ANP,Lantern (162),"16,717","219,127","6,039","144,630","74,497","302,495","255,730","558,228",39.25
NA-23,Qaiser Khan,JUIF,Book (31),"11,537","203,098","5,067","128,210","74,888","253,199","204,915","458,114",44.33
NA-24,Akhtar Ali Khan,JIP,Scale (232),"9,366","198,603","5,295","135,216","63,387","280,438","223,832","504,270",39.38
NA-25,Shahryar Amirzeb ,PPP,Arrow (12),"9,335","224,529","5,452","150,799","73,730","305,911","256,487","562,398",39.92
NA-26,Usman Ghani,PTIP,Turban (305),"4,177","97,897","4,140","71,800","26,097","206,785","152,260","359,045",27.27
NA-27,Shaukat Ali,IND,Match Box (172),"1,658","139,571","4,170","108,661","30,910","347,686","288,663","636,349",21.93
NA-28,Saleem Iqbal,IND,Shoes (243),,"245,802","4,679","158,130","87,672","219,835","176,210","396,045",62.06
NA-29,Umar Farooq,IND,Wrench (329),,"126,607","3,899","87,489","39,118","176,312","142,462","318,774",39.72
NA-30,Saif Ullah Khan,IND,Wheel BArrow (12),,"136,762","4,768","99,658","37,104","225,785","178,837","404,622",33.8
NA-31,Adalat Khan,IND,Brush (38),,"146,192","3,114","100,504","45,688","218,059","181,219","399,278",36.61
NA-32,Sohail Sultan,IND-PTI,Goat (123),"88,009","226,045","5,555","156,118","69,927","325,420","263,553","588,973",38.38
NA-33,Muhammad Saleem Khan,ANP,Lantern (162),"20,890","202,539","5,706","126,700","75,839","238,365","205,977","444,342",45.58
NA-34,Mehmood Khan,PTIP,Turban (305),"16,813","213,354","5,259","131,815","81,539","243,820","208,925","452,745",47.12
NA-35,Rahim Ullah,JUIF,Book (31),"15,337","247,793","5,729","155,415","92,378","361,031","305,208","666,239",37.19
NA-36,Kamal Khan,PPP,Arrow (12),"2,964","136,924","3,740","94,704","42,220","308,316","247,744","556,060",24.62
NA-37,Muhammad Naeem,IND,Screw Driver (237),304,"156,516","3,296","91,849","64,667","227,910","187,627","415,537",37.67
NA-38,Jallat,IND,Bed (23),153,"219,038","4,485","126,060","92,978","258,285","228,469","486,754",45
NA-39,Muhammad Ishaq,IND,Brush (38),31,"285,267","7,276","192,992","92,275","392,105","331,354","723,459",39.43
NA-40,Abdul Hadi Khan,IND,Racket (214),242,"143,298","1,837","95,778","47,520","249,291","181,193","430,484",33.29
NA-41,Til Hayat Khan,IND,Fork (109),140,"249,057","7,088","146,057","103,000","277,583","239,162","516,745",48.1
NA-42,Malik Zada,PPNAP,Bunch of Grapes (42),313,"76,330","2,732","58,742","17,588","276,426","190,866","467,292",16.33
NA-43,Muhammad Musa Khan ,IND,Peacock (194),276,"169,896","5,057","104,867","65,029","214,789","177,425","392,214",43.32
NA-44,Muhammad Raza Khan,TLP,Crane (71),907,"217,536","6,800","129,791","87,745","208,481","183,401","391,882",55.51
NA-45,Abdul Nasir,RJUI,Ring (220),157,"160,167","8,050","103,320","56,847","174,261","146,212","320,473",49.98
NA-46,Sayed Fazal Akbar,IND,Clock (60),915,"149,586",803,,,"183,925","166,656","350,581",43
NA-47,Muhammad Ali Shah,IND,Stethoscope (260),251,"254,731","1,161",,,"227,175","206,025","433,200",58.8
NA-48,Muhammad Khan,IND,Spoon (255),385,"182,853","1,211","100,264","82,589","157,305","141,942","299,247",61.1
NA-49,Fazal Subhan ,JIP,Scale (232),"7,465","322,642","5,191","17,146","151,174","334,246","306,643","640,889",50.34
NA-50,Shaukat Ali,IND,Sofa (249),116,"425,852","9,939",,,,,"708,131",54
NA-51,Yasir Khan,IND,Cricket Stumps (73),106,"357,601","8,482","191,874","165,727","351,287","329,949","681,236",52.49
NA-52,Sahibzada Tariqullah,JIP,Scale (232),"48,063","336,316","8,233","173,862","162,454","341,743","324,473","666,216",50.48
NA-53,Najam Uddin Khan,PPP,Arrow (12),"37,615","213,016","5,181","114,713","98,303","207,590","193,786","401,376",53.07
NA-54,Muhammad Nabi,JUIF,Book (31),"12,651","235,848","5,224","132,923","102,925","241,350","224,994","466,344",50.57
NA-55,Muhammad Nisar Khan,PML-N,Tiger (284),"11,420","172,680","2,700","107,062","65,618","221,049","210,783","431,832",39.99
NA-56,Badshah Rawan,MOTP,Pitcher (204),"1,500","219,148","4,156","128,004","91,144","272,459","251,274","523,733",41.84
NA-57,Shah Faisal,IND,Pomegranate (208),301,"182,411","3,122","105,041","77,370","222,434","209,077","431,511",42.2
NA-58,Inayatul Haq,MQM-P,Kite (159),235,"368,568","2,243","192,669","175,899","300,407","293,602","594,009",62.05
NA-59,Ghulam Ishaq,IND,Tap (277),360,"355,586","24,547","245,082","110,504","309,180","298,660","607,840",58.49
NA-60,Naveed Anjum Khan,RJUI,Ring (220),732,"237,545","5,709","121,525","116,020","274,745","264,152","538,897",44.08
NA-61,Muhammad Ibrahim,PTIP,Turban (305),177,"243,221","9,491","128,815","114,406","269,016","248,567","517,583",47.51
NA-62,Sahibzada Sibghat Ullah,IND-PTI,Bowl (34),"90,261","229,170","5,346","127,701","101,469","276,123","256,229","532,352",43.98
NA-63,Muhammad Bashir Khan,IND-PTI,Cricket Stumps (73),"81,060","269,125","5,631","141,035","128,090","280,812","247,147","527,959",51.32
NA-64,Sirajul Haq,JIP,Scale (232),"56,538","223,898",816,,,"290,657","260,967","551,624",40
NA-65,Bahadar Khan,ANP,Lantern (162),"11,544","287,477","9,092","156,573","130,904","310,662","275,591","586,253",48.95
NA-66,Muhammad Hanif,PPPP,Arrow (12),"6,922","313,497","9,249","172,665","140,832","346,741","300,131","646,872",48.46
NA-67,Muhammad Sher Khan,JUIF,Book (31),"6,149",,,,,"439,770","370,953","810,723",
NA-68,Ruh Ullah Khan,PML-N,Tiger (284),"1,118","306,672","9,051","167,318","139,354","325,060","288,121","613,181",50.01
NA-69,Muhammad Din Jan,IND,Medal (173),394,"298,999","11,609","176,185","122,814","325,897","276,004","601,901",49.66
NA-70,Aimal Bashir,IND,Bowl (34),166,"292,325","7,076","161,910","130,415","301,530","254,222","555,752",52.6
NA-71,Fawad Ali,IND,Racket (214),143,"251,371","6,620","147,753","103,618","305,133","272,148","577,281",43.54
NA-72,Ali shah,IND,Pomegranate (208),107,"298,989","7,301","169,753","130,467","320,186","268,834","589,020",50.76
NA-73,Aman Ul Haq,IND,Parrot (193),43,"258,911","5,185","148,736","110,175","287,754","247,044","534,798",48.41
