Punjab Assembly ,Name of Candidate,"Number of Votes Polled
","Party Affiliation
","Symbol Allocated
",Total Constituency Voters,Total Male,Total Female,Casted Votes,Casted Male,Female Vote Polled,Rejected Votes,Turnout %
PP-1,Qazi Ahmed Akbar,49257,IND-PTI,Plug,293444,153633,139811,127817,75501,52316,4203,43.6
PP-1,Jahangir Khanzada,36443,PML-N,Tiger(284),"243,061",126223,116828,"140,337","77,640","62,697",3265,57.7
PP-1,Mukhtiar Khan,12347,TLP,Crane(71),227213,117322,109891,"120,166",67030,53136,4194,52.9
PP-1,Changaiz Khan,9022,IND,#REF!,"280,147",143885,136262,178692,91832,86860,4032,63.8
PP-1,Muhammad Ibrahim,4536,JUIF,Book (31),"305,175",156289,148886,163570,84284,79286,4660,53.6
PP-1,Muhavia Ali,3936,PRP,#REF!,295163,"154,401",140762,166227,92697,73530,4268,56.3
PP-1,Taimoor Shahzad,3195,IND,#REF!,386073,196886,189187,191707,98782,92925,3961,49.7
PP-1,Haji Jabir Ali Khan,2275,JIP,#REF!,339042,173497,165545,155558,80918,74640,5198,45.9
PP-1,Muhammad Tariq,1487,PPP,#REF!,327174,168246,158928,180543,93332,87211,5118,55.2
PP-1,Peer Khan,128,IND,#REF!,275358,141015,134343,154926,81811,73115,3901,56.3
PP-1,Baber Nawaz,95,IND,#REF!,126018,66575,59443,63065,33667,29398,1543,50.0
PP-1,Malik Mir Afzal,70,IND,#REF!,222641,116567,106074,119991,67595,52396,3384,53.9
PP-1,Sardar Ahmed,61,IND,#REF!,"243,703",124783,118920,115674,65441,50223,2720,47.5
PP-1,Shahnaz Khalid,57,IND,#REF!,162419,83877,78542,91630,51961,39669,1379,56.4
PP-1,Naveed Ahmed,47,IND,#REF!,,,,,,,,
PP-1,Malik Mohammad Shamsher Aslam,-,IND,#REF!,267625,140997,126628,111874,68203,43671,2251,41.8
PP-1,Ambreen Asif,-,IND,#REF!,,,,,,,,
PP-2,Sardar Muhammad Ali Khan,36093,IND-PTI,Parachute (192) ,,,,,,,,
PP-2,Iftikhar Ahmed Khan,35891,PML-N,#REF!,187414,96298,91116,80004,45189,34815,1501,42.7
PP-2,Ayaz Khan,22275,TLP,#REF!,279692,140965,138727,"170,609",972477,73662,1225,61.0
PP-2,Zulfiqar Hayat Khan,18688,PPP,#REF!,"319,170",161790,157380,"187,508","103,130",84378,800,58.7
PP-2,Jahangir Ali Khan,13233,IND,#REF!,,,,,,,,
PP-2,Muhammad Zia Tahir,13233,PAT,#REF!,315424,161326,154098,182945,115256,67689,6223,58.0
PP-2,Awais Aslam Mirza,4090,JIP,#REF!,,,,,,,,
PP-2,Zia Muhammad,2952,IND,#REF!,,,,,,,,
PP-2,Bilal Ahmed,522,IND,#REF!,343096,179040,164056,"160,264",86596,73668,4589,46.7
PP-2,Anwar Ullah Khan,173,IND,#REF!,251347,129991,121356,114763,61517,53246,2504,45.7
PP-3,Candidates,Votes,Party,#REF!,,,,,,,,
PP-3,Syed Ijaz Hussain Bukhari,36897,IND-PTI,Fridge (113),,,,,,,,
PP-3,Malik Hameed Akbar,31857,PML-N,#REF!,262845,"139,200",123645,"128,232",68093,60139,3039,48.8
PP-3,Umar Arshad,14165,TLP,#REF!,299176,156200,142976,125383,,,271,41.9
PP-3,Haider Ali,4977,PPP,#REF!,252448,134457,117991,"103,503",,,271,41.0
PP-3,Muhammad Junaid,2812,JIP,#REF!,316651,167034,149617,133651,77097,56554,5357,42.2
PP-3,Iftikhar Ahmed Farooqi,1159,PRP,#REF!,269602,143628,125974,132471,73123,59348,4228,49.1
PP-3,Syed Zarghun Shah,931,JUIF,#REF!,331496,176440,155056,160524,89096,71428,3503,48.4
PP-3,Murad Butt,257,IND,#REF!,315376,170301,145075,161636,88137,73499,3705,51.3
PP-3,Ahmad Nawaz Malik,64,IND,#REF!,264099,144117,119982,160760,91410,69350,4369,60.9
PP-3,Malik Zia Ur Rehman Noorani,-,IND,#REF!,286500,153921,132579,149769,850136,64756,3178,52.3
PP-3,Rana Afsar Ali Khan,-,IND,#REF!,"260,124",141732,118392,151490,87402,64088,4942,58.2
PP-4,Sher Ali Khan,48593,PML-N,#REF!,310566,164167,146389,138963,78207,60756,4145,44.7
PP-4,Malik Amanat Khan Rawal,43685,TLP,#REF!,302611,160879,141732,157394,84117,73277,4483,52.0
PP-4,Sardar Shah Nawaz Khan,38790,IND-PTI,Onion,294015,160865,133150,98224,54889,43335,5561,33.4
PP-4,Malik Riasat Ali,27173,PPP,#REF!,307886,165032,142854,149613,84650,64963,9188,48.6
PP-4,Muhammad Ali Hassan Raza,5629,IND,#REF!,284795,155062,129733,147026,81589,65437,4240,51.6
PP-4,Malik Muhammad Imran,2599,IND,#REF!,270957,146468,124489,145040,80535,60505,4087,53.5
PP-4,Asif Ali Khan,1854,JIP,#REF!,311927,164735,147192,134791,77612,51179,3429,43.2
PP-4,Muhammad Idrees,1679,IND,#REF!,265354,"140,398",124956,"119,147",70507,48640,2508,44.9
PP-4,Nasir Mahmood,1019,PRP,#REF!,295897,160943,134954,155213,86926,68287,5226,52.5
PP-4,Nasir Ali,596,IND,#REF!,293123,159243,133880,144488,77725,66763,4389,49.3
PP-4,Makhdoom Syed Mumtaz Shah,371,MQM-P,#REF!,256938,"139,706",117232,131511,73482,58029,3831,51.2
PP-4,Tasnim Malik,191,IND,#REF!,277860,148048,129812,129395,74723,54672,2422,46.6
PP-5,Malik Aitbar Khan,46665,PML-N,#REF!,283280,151591,131689,141785,79731,62054,3117,50.1
PP-5,MALIK JAMSHAID ALTAF,43620,IND-PTI,Tawa,256113,137598,118515,141803,78450,63353,2714,55.4
PP-5,Syed Atif Hussain Shah,41315,TLP,#REF!,239442,136610,108832,"113,302",72849,60453,5004,47.3
PP-5,Shaheer Haider Malik,13811,PNP,#REF!,247464,133593,113871,121810,66155,55655,3749,49.2
PP-5,Hafiz Tanveer Ahmed,6675,JIP,#REF!,247516,135398,112118,122316,67719,54597,3845,49.4
PP-5,Shamsul Haque Alavi,2892,PRP,#REF!,253745,135386,118359,127965,71614,56351,2571,50.4
PP-5,Malik Muhammad Ali,408,IND,#REF!,249973,135976,113997,129819,72524,57295,3258,51.9
PP-5,Iftikhar Ali Khan,292,IND,#REF!,194239,104945,89294,89297,52219,37078,2180,46.0
PP-5,Naveed Hussain,119,IND,#REF!,221463,"118,147","103,316",87484,53679,33805,2157,39.5
PP-6,Muhammad Bilal Yamin,65056,PML-N,#REF!,235024,127433,"107,591",99670,63380,36290,2073,42.4
PP-6,Zain ul Abideen (Zain Zia Abbasi),33475,IND-PTI,Tap,203059,111159,91900,84329,52995,31334,2268,41.5
PP-6,Muhammad Sufyan Abbasi,20716,JIP,#REF!,289030,155483,133547,115417,71466,43951,25544,39.9
PP-6,Mumtaz Ali,13537,TLP,#REF!,244440,"135 2,888","109,152",95635,61644,33991,2280,39.1
PP-6,Nasir Mehmood Abbasi,11684,PRP,#REF!,209742,115611,94131,99600,59758,39842,3311,47.5
PP-6,Muhammad Nazir Abbasi,6048,PPP,#REF!,252095,138928,"113,167",137129,80680,56449,3888,54.4
PP-6,Arshad Mehmood Abbasi,641,JUIF,#REF!,238874,130599,"108,275",113775,68634,45141,2882,47.6
PP-6,Imtiaz Ahmed,485,PAT,#REF!,216783,1201 66,96617,115595,68639,46956,3236,53.3
PP-6,Nazakat Hussain,168,ATP,#REF!,251064,137873,"113,191",131203,75724,55479,3235,52.3
PP-6,Raja Khurram Zaman,123,IND,#REF!,225314,123413,"101,901","106,740",62203,44537,4000,47.4
PP-6,Warda Khan,109,IND,#REF!,266757,14 1804,124953,143704,80258,63446,4178,53.9
PP-6,Javid Iqbal Satti,62,IND,#REF!,296359,157075,139284,150098,831997,66901,5230,50.6
PP-6,Arslan Ayaz,60,IND,#REF!,266297,144536,121761,134110,82281,51829,4034,50.4
PP-6,Wasim Ud Din Abbasi,30,IND,#REF!,262257,"139,305",122952,143327,80943,62384,7435,54.7
PP-6,AMJAD ARBAB ABBASI,21,PAT,#REF!,295975,155377,"140,598",129082,76683,52399,2045,43.6
PP-6,Raja Amjad Mehmood,-,IND,#REF!,234710,124016,110694,113718,64313,49405,3849,48.5
PP-6,Humayun Naseer,-,IND,#REF!,238135,"125,709",112 426,130618,71714,58904,3325,54.9
PP-7,Lt. Col. (Rtd) Muhammad Shabbir Awan,72898,IND-PTI,Drill Machine,269081,"144,101","124 9,800",144009,80898,63 111,3768,53.5
PP-7,Raja Sagheer Ahmad,66338,PML-N,#REF!,271580,144252,127328,139282,78824,60458,7160,51.3
PP-7,Raja Wasim Ahmed,22095,TLP,#REF!,267548,141319,126229,134963,74707,60256,6590,50.4
PP-7,Raja Nadeem Ahmed,8952,IND,#REF!,"254,204","130,309",123895,134234,,,3802,52.8
PP-7,Chaudhry Zaheer Mahmood,6870,PPP,#REF!,235675,121591,114084,116549,64399,52150,2942,49.5
PP-7,Raja Tanveer Ahmed,2917,JIP,#REF!,237293,"1, 23821",113472,135555,,,4694,57.1
PP-7,Karar Hussain Shah,1041,ITP,#REF!,214014,112234,"101 7,800",123274,,,6395,57.6
PP-7,Muhammad Ahsan,1024,PRP,#REF!,272384,144020,128364,144025,79023,65002,3284,52.9
PP-7,Naveed Iqbal,850,TJP,#REF!,"264,207",137572,126635,147872,81602,66270,3908,56.0
PP-7,Hafiz Muhammad Haroon,269,JUIF,#REF!,271257,141198,130059,155454,88049,67405,4391,57.3
PP-7,AMJAD ARBAB ABBASI,213,PAT,#REF!,260674,137499,123175,153986,87618,66368,4868,59.1
PP-7,Nasir Nazir,38,IND,#REF!,202539,"1, 07912",94627,124449,72265,52184,4887,61.4
PP-7,Yumna Ishfaq,-,IND,#REF!,216433,113981,102452,136363,76588,59775,5167,63.0
PP-8,Chaudhry Javed Kausar Advocate,47526,IND-PTI,Drill Machine,"203,403","1, 07907",95496,147459,81213,66246,3930,72.5
PP-8,Khurram Parvez Raja,40603,PPP,#REF!,"206,239","1, 07891",98348,"127,129",71957,55172,5442,61.6
PP-8,Iftikhar Ahmed Warsi,27577,PML-N,#REF!,214070,113555,"100,515",144740,81265,63475,4615,67.6
PP-8,Ismail Tariq Kayani,23406,TLP,#REF!,230755,1210 one0,109745,112758,64587,4817,4713,48.9
PP-8,Amir Afzal Qureshi,6240,IND,#REF!,235100,125376,109724,126040,74338,51702,4085,53.6
PP-8,Ansa Ashfaq,988,JIP,#REF!,212438,112577,99861,"130,188",74080,56188,4827,61.3
PP-8,Zakir Hussain Shah,637,TLI,#REF!,"206,286",109857,96429,"125,303",71039,54264,4732,60.7
PP-8,Khalid Mobeen,535,JUIF,#REF!,277734,150371,127363,158618,90555,68063,4592,57.1
PP-8,Raja Daniyal Iqbal,301,IND,#REF!,236907,127 497,"109,410",125361,74613,50748,2726,52.9
PP-8,SHAHZADA Khan,180,IND,#REF!,"240,912",130366,110546,122640,73349,49291,2910,50.9
PP-8,Rashid Mehmood,33,IND,#REF!,321979,172103,149876,157414,993956,63458,3541,48.9
PP-8,Muhammad Ramzan Awan,-,IND,#REF!,251135,138379,112756,127958,76061,51897,4916,51.0
PP-8,Malik Gulfaraz Ahmad Faraz,-,IND,#REF!,"240,568",133886,106682,"123,405",73047,50358,5161,51.3
PP-8,Muhammad Kashif Mushtaq,-,PNP,#REF!,298983,161129,137854,151132,88769,62363,5303,50.5
PP-9,Shaukat Aziz Bhatti,50560,PML-N,#REF!,280474,151302,"129,172",143009,82501,60508,4070,51.0
PP-9,Chaudhary Sarfaraz Ahmad Khan,43528,PPP,#REF!,229915,"123,809","106,106","120,912",77100,49911,4584,52.6
PP-9,Munir Ahmed Bhatti,35871,IND-PTI,ROUND TABLE ,261522,141210,"120,312",138219,80307,57912,4030,52.9
PP-9,Raja Babar Hussain,22532,TLP,#REF!,259461,"140,409",119052,142827,84488,58339,5950,55.0
PP-9,Chaudhry Sajid Mehmood,9881,IND,#REF!,248419,133956,114463,138031,82032,55999,4419,55.6
PP-9,Muhammad Naveed Bhatti,4795,IND,#REF!,192379,102603,8977,99975,59499,40476,1691,52.0
PP-9,Habib Nawaz,3952,JIP,#REF!,203645,107866,95779,101055,60709,40346,2577,49.6
PP-9,Mohsin Nawaz Janjua,1185,JUIF,#REF!,295128,154295,140833,141339,83795,57544,2521,47.9
PP-9,Muhammad Shakeel,725,TLI,#REF!,228867,119490,109377,115685,67966,47719,2873,50.5
PP-9,Raja Abdul Waheed Qasim,656,IND,#REF!,242157,126518,115639,"115,994",68118,47876,2571,47.9
PP-9,Aurangzeb Akhtar,483,FNP,#REF!,221259,"118,301",102958,107368,64263,43105,1541,48.5
PP-9,Pervez Akhtar Mirza,73,IND,#REF!,265168,140974,124194,133010,79638,53372,1978,50.2
PP-9,Manan Ali,38,IND,#REF!,231479,124025,107454,"110,196",66890,43306,1476,47.6
PP-9,Yahya Faiz,-,IND,#REF!,"269,808",142596,127212,134119,79915,54204,1995,49.7
