Constituency,Candidates,Sign,Party,Votes
PS-01,Sher Muhammad Mugheri,Arrow (12),PPP,48385
PS-01,Abdul Razzaque Khan,Charpai (56),IND,18115
PS-01,Mir Raja Khan Jakhrani,Clock (60),IND-PTI,4767
PS-01,Jan Muhammad,Crane (71),TLP,1365
PS-01,Deedar Ali Lashari,Scale (232),JIP,1236
PS-01,Bibi Asiya,Book (31),JUIF,451
PS-01,Asif Ali,Table (271),IND,393
PS-01,Muhammad Ayoub Solangi,Tooth Brush (287),IND,252
PS-01,Koura Khan,Wrench (329),IND,217
PS-01,Abdullah,Bed (23),IND,162
PS-01,Mir Asghar Ali Panhwar,Screw (236),IND,121
PS-01,Ghazanfar Ali Soomro,Door (87),IND,100
PS-01,Muhammad Usman,Bottle (32),IND,82
PS-01,Tahir Ali,Swallow (267),IND,79
PS-01,Mumtaz Khatoon,Queen (211),IND,72
PS-01,Zubeda Begum,Peacock (194),IND,62
PS-01,Raz Muhammad,Cricket Stumps (73),IND,57
PS-01,Muhammad Shahban,Wheel Chair (325),IND,49
PS-01,Munawar Ali,Kite (159),MQM-P,40
PS-01,Abdul Khalique,Laptop (163),IND,38
PS-01,Hafiz Mehrab,Radio (215),IND,35
PS-01,Jan Muhammad Mirbahar,Dolphin (85),IND,34
PS-01,Liaqat Ali Khoso,Transformer (294),IND,28
PS-01,Ghulam Mustafa,Goat (123),IND,27
PS-01,Rashid Ali,Alphabet 'A' (5),IND,21
PS-01,Muhammad Hanif,Parrot (193),IND,17
PS-02,Sohrab Khan Sarki,Arrow (12),PPP,53298
PS-02,Shafique Ahmed Khoso,Book (31),JUIF,47662
PS-02,Abdul hafeez Bijarani,Scale (232),JIP,853
PS-02,Riaz Ahmed,Crane (71),TLP,806
PS-02,Roshan ud Din,Charpai (56),IND,762
PS-02,Shah Jahan,Battery (21),IND,679
PS-02,Saleem Khan Buriro,Match Box (172),IND,432
PS-02,Saddam Hussain,Mobile Charger (176),IND-PTI,295
PS-02,Muhammad Khan Khoso,Mobile Charger (176),IND,159
PS-02,Muhammad Mohsin Khan Sarki,Tooth Brush (287),IND,139
PS-02,Ahmed Ali,Slate (248),IND,112
PS-02,Zohaib Zulfiqar Sarki,Aeroplane (2),IND,106
PS-02,Saleem Saif,Brick (35),IND,103
PS-02,Uroosa,Rabab (212),PPP-SB,66
PS-02,Adil Usman,Brush (38),IND,40
PS-02,Moula Bux,Dolphin (85),IND,36
PS-02,Sikandar Ali,Racket (214),IND,32
PS-02,Manzoor Ahmed,Peacock (194),IND,31
PS-02,Nawab Ali,Hand Pump (130),IND,25
PS-03,Mir Mumtaz Hussain Jakhrani,Charpai (56),IND,39600
PS-03,Mir Aurang Zaib Panhwar,Arrow (12),PPP,31587
PS-03,Arbab Khan,Crane (71),TLP,1032
PS-03,Shoaib Ahmed,Bench (26),IND,764
PS-03,Muhammad Noor,Axe (14),BNP,485
PS-03,Inayatullah,Scale (232),JIP,345
PS-03,Shafqat Hussain Jakhrani,Rabab (212),IND,270
PS-03,Maula Buksh Soomro,Screw Driver (237),IND,247
PS-03,Mir Shujaullah Panhwar,Screw (236),IND,195
PS-03,Irfan Ali,Racket (214),IND-PTI,189
PS-03,Suleman Khan,Match Box (172),IND,151
PS-03,Khan Muhammad Alias Gulzar Ahmed,Guitar (127),IND,114
PS-03,Liaqat Ali,Cage (45),IND,68
PS-03,Muhammad Farooque,Laptop (163),IND,64
PS-03,Iqbal Hussain,Peacock (194),IND,61
PS-04,Haji Abdul Rauf Khoso,Arrow (12),PPP,58046
PS-04,Mir Ghalib Hussain Khan,Study Table with Chair (263),IND,25758
PS-04,Manzoor Ahmed Khoso,Peacock (194),IND,3289
PS-04,Abdul Wahid Khoso,iron Stand (148},IND,622
PS-04,Wazir Ali,Scale (232),JIP,402
PS-04,Muhammad Akram,Fork (109),IND,318
PS-04,Ghulam Asghar Khan Chachar,Tooth Brush (287),IND,307
PS-04,Fida Hussain,Star (259),GDA,250
PS-04,Nazir Hussain,Crane (71),TLP,198
PS-04,Parvaiz Ahmed,Slate (248),IND,194
PS-04,Khalid Hussain,Deep Freezer (79),IND,159
PS-04,Begum Khatoon,Bulb (40),AWP,130
PS-04,Meer Khan,Coconut (62},IND,106
PS-04,Fazal Rehman,Trolley (297),IND,96
PS-04,Imtiaz Hussain Soomro,Charpai (56),IND,83
PS-04,Abdul Baqi,Rabab (212),IND,59
PS-04,Israr Ahmed,Dressing Table (89),IND,59
PS-04,Mir Hassan,Computer (167),IND,50
PS-04,Toheed Khan,Round Table (227},IND,46
PS-04,Bilawal Ali,Dolphin (85),IND,13
PS-04,Shah Ali Khan alias Shehak,Bottle (32),IND,8
PS-04,Muhammad Hanif,Lotus (168),IND,6
PS-05,Sardar Ghulam Abid,Arrow (12),PPP,31132
PS-05,Rabnawaz,Book (31),JUIF,21052
PS-05,Sardar Tegho Khan,Tiger (284),PML-N,10760
PS-05,Jamsher Ogahi,Fork (109),IND,581
PS-05,Shabir Ahmed,Bottle (32),PTI-N,517
PS-05,Ghulam Mustafa,Scale (232),JIP,475
PS-05,Imran Khan,Laptop (163),IND,456
PS-05,Alif Khan,Crane (71),TLP,263
PS-05,Jahan Khan,Suitcase (264),IND,232
PS-05,Sher Muhammad,Match Box (172),IND,225
PS-05,Ghulam Asghar Khan Chachar,Tooth Brush (287),IND,189
PS-05,Shafqat Hussain,Slate (248),IND,123
PS-05,Abdul Nabi,Table (271),IND,82
PS-05,Ahmed Raza,Brick (35),IND,59
PS-05,Abdul Azziz Samejo,Fridge (113),IND,27
PS-05,Naveed Ali,Computer (67),IND,24
PS-06,Mehboob Ali Khan Bijarani,Arrow (12),PPP,86365
PS-06,Abdul Qayoom,Book (31),JUIF,9945
PS-06,Abdul Nabi,Tiger (284),PML-N,2526
PS-06,Abdul Jabbar,Scale (232),JIP,753
PS-06,Sheraz Ali Bijarani,Suitcase (264),IND,638
PS-06,Kifayatullah,Fork (109),IND,342
PS-06,Imran Khan,Laptop (163),IND,192
PS-06,Zaryab Ali Bijarani,Slate (248),IND,187
PS-06,Irshad Ali,Crane (71),TLP,153
PS-06,Iltaf Hussain Khoso,Brick (35),IND,70
PS-06,Sardar Imranullah Sarki,Dolphin (85),IND,60
PS-06,Muhammad Sallah,Rabab (212),IND,38
PS-07,Imtiaz Ahmed Shaikh,Arrow (12),PPP,60354
PS-07,Agha Taimor Khan,Book (31),JUIF,44480
PS-07,Asghar Ali,Tent (282),MWM,2729
PS-07,Agha Shamas Ud Din Khan,Tooth Brush (287),IND,1852
PS-07,Abdul Qadir,Scale (232),JIP,1020
PS-07,Faraz Shaikh,Suitcase (264),IND,927
PS-07,Shafqat Ali,Electric Heater (94),IND,716
PS-07,Jameel Ahmed,Charpai (56),IND,271
PS-07,Tanweer Ahmed,Radio (215),IND,247
PS-07,Agha Shafqatullah,Fist (105),PPP-SB,172
PS-07,Shahid Ali,Key with Lock (156),IND,131
PS-08,Muhammad Arif Khan Mahar,Arrow (12),PPP,64016
PS-08,Abid Hussain Jatoi,Book (31),JUIF,51869
PS-08,Naeem Ahmed Khan Jatoi,Fork (109),IND,678
PS-08,Ameer Ali Jatoi,Tooth Brush (287),IND,461
PS-08,Ghous Bux Khan Mahar,Charpai (56),IND,400
PS-08,Shahida Parveen,Scale (232),JIP,397
PS-09,Agha Siraj Khan Durrani,Arrow (12),PPP,63760
PS-09,Rushdullah Shah,Book (31),JUIF,25634
PS-09,Chakar Khan,Crane (71),TLP,2697
PS-09,Muhammad Umar,Tiger (284),PML-N,2422
PS-09,Sarfaraz Ahmed,Scale (232),JIP,2224
PS-09,Barkat Ali,Radio (215),IND,541
PS-09,Israr Ahmed,Goat (123),IND,372
PS-09,Agha Mir Mustafa Khan Durani,Table (271),IND,262
PS-09,Muhammad Bux,Peacock (194),IND,217
PS-09,Abdul Waheed,Charpai (56),IND,182
PS-10,Faryal Talpur,Arrow (12),PPP,85917
PS-10,Kifayatullah,Book (31),JUIF,18475
PS-10,Muhammad Arshad Bhutto,Crane (71),TLP,3552
PS-10,Muhammad Bachal,Peacock (194),IND-PTI,1262
PS-10,Shahid Mian Bhutto,Fist (105),PPP-SB,1065
PS-10,Abbas Ali,Scale (232),JIP,940
PS-10,Asadullah,Match Box (172),IND,695
PS-10,Ghulam Mustafa Laghari,Suitcase (264),IND,641
PS-10,Muhammad Ali Abro,Kettle (153),IND,429
PS-10,Nadir Hussain,Iron (147),PRP,104
PS-100,Syed Muhammad Usman,Kite (159),MQM-P,21970
PS-100,Haider Ali Umrani,Arrow (12),PPP,15241
PS-100,Naeem Akhtar,Scale (232),JIP,12336
PS-100,Syed Muhammad Taha,HUMAN EYE انسانی انکھ,IND-PTI,8250
PS-100,Muhammad Shahnawaz,Crane (71),TLP,2094
PS-100,Sarwat Jawahir,Tiger (284),PML-N,1018
PS-100,Mehboob Ali,Tent (282),MML,629
PS-100,Aleem Adil Sheikh,,IND,564
PS-100,Mitha Khan,,IND,411
PS-100,Sajid Hussain,,IND,404
PS-100,Khuwaja Moin Hussain Siddiqui,Star (259),GDA,374
PS-100,Naveed Khursheed,,IND,322
PS-100,Muhammad Anwar Jabbar,,IND,292
PS-100,Muhammad Zubair,,IND,282
PS-100,Imran Shahzad,Eagle (93),IPP,274
PS-100,Noor Muhammad Khan,,IND,256
PS-100,Muhammad Asghar,,IND,254
